transaction_id,customer_id,amount,timestamp,category,merchant,location,is_fraud
TXN00000,CUST00381,326.67,2025-12-14 02:52:58,Dining,McDonalds,"Fort Worth, TX",False
TXN00001,CUST00334,399.19,2025-11-11 19:25:06,Other,Uber,"Los Angeles, CA",False
TXN00002,CUST00898,189.15,2025-03-31 22:09:02,Healthcare,Best Buy,"Washington, DC",False
TXN00003,CUST00952,223.41,2025-03-23 12:16:57,Entertainment,Amazon,"Seattle, WA",False
TXN00004,CUST00185,2098.06,2025-11-19 12:06:41,Other,Mastercard,"Washington, DC",True
TXN00005,CUST00255,349.02,2025-02-20 06:31:13,Dining,Chase,"Los Angeles, CA",False
TXN00006,CUST00506,28.99,2025-12-11 20:28:12,Transportation,Netflix,"Austin, TX",False
TXN00007,CUST00754,327.8,2025-10-09 00:10:25,Other,Target,"San Antonio, TX",False
TXN00008,CUST00595,236.45,2025-11-06 04:44:59,Online Shopping,eBay,"Los Angeles, CA",False
TXN00009,CUST00841,92.07,2025-02-10 19:09:56,Entertainment,Mastercard,"San Diego, CA",False
TXN00010,CUST00307,268.34,2025-06-12 16:27:54,Dining,Uber,"Chicago, IL",False
TXN00011,CUST00128,372.83,2025-04-01 03:52:34,Grocery,Bank of America,"Chicago, IL",False
TXN00012,CUST00870,286.67,2025-12-09 20:19:55,Healthcare,Costco,"Jacksonville, FL",False
TXN00013,CUST00780,32.52,2025-05-25 18:19:01,Dining,Amazon Prime,"Charlotte, NC",False
TXN00014,CUST00912,274.32,2025-03-03 00:16:21,Grocery,Amazon Prime,"San Antonio, TX",False
TXN00015,CUST00309,54.46,2025-01-24 11:40:53,Grocery,Costco,"San Antonio, TX",False
TXN00016,CUST00971,163.27,2025-10-31 04:14:28,Utilities,Uber,"San Diego, CA",False
TXN00017,CUST00720,378.79,2025-05-04 06:10:25,Online Shopping,Apple Store,"Los Angeles, CA",False
TXN00018,CUST00272,111.58,2025-05-25 22:23:04,Education,Netflix,"Houston, TX",False
TXN00019,CUST00019,367.34,2025-09-06 11:39:49,Dining,Spotify,"Fort Worth, TX",False
TXN00020,CUST00069,293.27,2025-11-25 07:12:35,Online Shopping,Best Buy,"Chicago, IL",False
TXN00021,CUST00112,465.96,2025-09-11 06:42:22,Transportation,Walmart,"San Diego, CA",False
TXN00022,CUST00489,146.42,2025-08-19 14:18:10,Entertainment,Amazon,"Charlotte, NC",False
TXN00023,CUST00738,41.68,2025-11-30 22:43:14,Other,Best Buy,"Phoenix, AZ",False
TXN00024,CUST00564,412.76,2025-04-29 10:19:38,Online Shopping,Amazon Prime,"New York, NY",False
TXN00025,CUST00405,472.2,2025-04-30 06:27:17,Grocery,Walmart,"New York, NY",False
TXN00026,CUST00673,283.74,2025-03-22 12:22:20,Online Shopping,Uber,"New York, NY",False
TXN00027,CUST00040,480.28,2025-10-16 12:04:58,Other,Visa,"San Jose, CA",False
TXN00028,CUST00761,69.35,2025-04-18 07:43:53,Travel,Bank of America,"Los Angeles, CA",False
TXN00029,CUST00122,478.25,2025-03-28 00:13:58,Education,Best Buy,"New York, NY",False
TXN00030,CUST00788,325.55,2025-01-22 01:09:57,Education,Spotify,"Denver, CO",False
TXN00031,CUST00741,213.74,2025-11-24 21:44:25,Dining,Chase,"San Jose, CA",False
TXN00032,CUST00368,40.83,2025-07-29 03:37:16,Entertainment,Bank of America,"Denver, CO",False
TXN00033,CUST00513,365.98,2025-09-28 03:17:15,Dining,Amazon,"Los Angeles, CA",False
TXN00034,CUST00986,366.6,2025-08-08 15:52:00,Entertainment,Target,"Dallas, TX",False
TXN00035,CUST00631,181.54,2025-01-27 15:56:39,Online Shopping,Target,"Dallas, TX",False
TXN00036,CUST00925,335.63,2025-07-06 11:41:15,Utilities,McDonalds,"Houston, TX",False
TXN00037,CUST00581,338.28,2025-06-19 05:58:58,Grocery,Google,"San Antonio, TX",False
TXN00038,CUST00219,491.4,2025-11-05 02:12:34,Dining,Amazon,"Chicago, IL",False
TXN00039,CUST00680,150.9,2025-02-09 03:09:38,Online Shopping,Amazon Prime,"Los Angeles, CA",False
TXN00040,CUST00929,3887.92,2025-12-20 14:02:06,Entertainment,Visa,"Chicago, IL",True
TXN00041,CUST00830,161.02,2025-01-12 07:53:25,Dining,Spotify,"Philadelphia, PA",False
TXN00042,CUST00005,409.69,2025-11-01 00:32:23,Online Shopping,Walmart,"Indianapolis, IN",False
TXN00043,CUST00838,329.93,2025-11-01 04:12:53,Grocery,Starbucks,"New York, NY",False
TXN00044,CUST00054,254.49,2025-11-24 18:27:31,Other,McDonalds,"San Francisco, CA",False
TXN00045,CUST00202,151.53,2025-07-20 06:53:01,Travel,Amazon,"Houston, TX",False
TXN00046,CUST00507,496.74,2025-08-05 23:07:08,Education,CitiBank,"San Francisco, CA",False
TXN00047,CUST00228,96.7,2025-02-03 22:21:57,Travel,Walmart,"New York, NY",False
TXN00048,CUST00903,146.72,2025-11-09 05:26:43,Dining,Bank of America,"Dallas, TX",False
TXN00049,CUST00572,359.58,2025-10-18 09:26:32,Online Shopping,Starbucks,"Fort Worth, TX",False
TXN00050,CUST00829,216.15,2025-01-14 04:33:35,Online Shopping,Target,"San Francisco, CA",False
TXN00051,CUST00226,233.95,2025-05-19 14:15:02,Online Shopping,eBay,"Indianapolis, IN",False
TXN00052,CUST00114,1617.22,2025-08-25 01:39:12,Education,Visa,"Denver, CO",True
TXN00053,CUST00220,495.75,2025-05-03 06:25:10,Online Shopping,PayPal,"San Antonio, TX",False
TXN00054,CUST00399,380.8,2025-09-07 17:18:39,Transportation,Netflix,"Washington, DC",False
TXN00055,CUST00070,84.78,2025-07-30 06:57:19,Dining,Best Buy,"Dallas, TX",False
TXN00056,CUST00124,3326.83,2025-07-05 09:14:45,Utilities,Spotify,"Austin, TX",True
TXN00057,CUST00664,353.03,2025-11-06 06:27:56,Education,Amazon,"Jacksonville, FL",False
TXN00058,CUST00742,258.3,2025-11-05 10:41:19,Education,Amazon,"San Antonio, TX",False
TXN00059,CUST00993,92.51,2025-04-20 12:11:00,Healthcare,Netflix,"Columbus, OH",False
TXN00060,CUST00169,714.23,2025-02-24 09:33:35,Healthcare,Uber,"Phoenix, AZ",True
TXN00061,CUST00982,284.51,2025-03-23 11:15:53,Dining,Best Buy,"Jacksonville, FL",False
TXN00062,CUST00290,381.51,2025-10-18 18:18:20,Travel,Costco,"San Jose, CA",False
TXN00063,CUST00799,78.84,2025-06-03 01:10:12,Healthcare,eBay,"Seattle, WA",False
TXN00064,CUST00126,462.73,2025-11-29 22:25:05,Transportation,eBay,"Phoenix, AZ",False
TXN00065,CUST00566,86.61,2025-11-16 13:36:26,Entertainment,Bank of America,"Charlotte, NC",False
TXN00066,CUST00663,83.04,2025-05-01 03:38:15,Other,Bank of America,"Dallas, TX",False
TXN00067,CUST00168,477.98,2025-07-24 23:33:35,Transportation,Target,"Jacksonville, FL",False
TXN00068,CUST00911,358.97,2025-01-01 12:00:14,Transportation,Amazon,"San Diego, CA",False
TXN00069,CUST00329,48.46,2025-11-29 06:35:27,Other,Google,"Phoenix, AZ",False
TXN00070,CUST00737,308.61,2025-12-02 12:41:14,Utilities,Uber,"Denver, CO",False
TXN00071,CUST00672,3410.58,2025-05-10 02:40:45,Travel,McDonalds,"San Francisco, CA",True
TXN00072,CUST00652,156.94,2025-07-08 09:12:49,Education,Uber,"Fort Worth, TX",False
TXN00073,CUST00481,427.16,2025-06-08 20:38:47,Healthcare,Target,"Seattle, WA",False
TXN00074,CUST00863,164.62,2025-08-13 21:14:59,Healthcare,PayPal,"Columbus, OH",False
TXN00075,CUST00170,382.16,2025-04-04 14:59:36,Utilities,Costco,"San Antonio, TX",False
TXN00076,CUST00600,3158.92,2025-05-11 13:10:19,Utilities,Amazon,"Dallas, TX",True
TXN00077,CUST00884,441.17,2025-09-21 04:33:15,Education,Amazon Prime,"Chicago, IL",False
TXN00078,CUST00777,217.28,2025-01-29 03:31:28,Online Shopping,Best Buy,"Denver, CO",False
TXN00079,CUST00761,99.86,2025-02-10 02:06:20,Utilities,Starbucks,"Columbus, OH",False
TXN00080,CUST00276,41.15,2025-03-25 13:43:43,Online Shopping,Uber,"Philadelphia, PA",False
TXN00081,CUST00678,369.55,2025-10-15 17:36:28,Other,Best Buy,"San Jose, CA",False
TXN00082,CUST00682,315.76,2025-10-02 23:50:35,Grocery,Google,"Jacksonville, FL",False
TXN00083,CUST00686,479.78,2025-12-10 16:19:59,Online Shopping,Apple Store,"Dallas, TX",False
TXN00084,CUST00410,209.58,2025-03-08 20:52:58,Entertainment,Uber,"Indianapolis, IN",False
TXN00085,CUST00240,178.24,2025-04-26 22:53:51,Transportation,Visa,"Fort Worth, TX",False
TXN00086,CUST00227,280.86,2025-10-13 20:06:27,Education,Costco,"Denver, CO",False
TXN00087,CUST00345,455.1,2025-09-07 17:25:00,Utilities,McDonalds,"Columbus, OH",False
TXN00088,CUST00203,429.64,2025-01-30 09:19:30,Other,Best Buy,"San Antonio, TX",False
TXN00089,CUST00493,76.13,2025-07-24 13:13:22,Healthcare,Best Buy,"Houston, TX",False
TXN00090,CUST00995,18.91,2025-11-18 12:34:30,Education,Visa,"Philadelphia, PA",False
TXN00091,CUST00675,393.57,2025-02-17 12:10:57,Online Shopping,eBay,"Phoenix, AZ",False
TXN00092,CUST00200,433.52,2025-04-01 01:16:53,Grocery,eBay,"Denver, CO",False
TXN00093,CUST00619,485.08,2025-09-03 05:47:21,Other,Spotify,"San Francisco, CA",False
TXN00094,CUST00954,180.07,2025-02-02 03:55:12,Grocery,Costco,"Fort Worth, TX",False
TXN00095,CUST00274,437.08,2025-12-07 23:50:26,Utilities,Chase,"Houston, TX",False
TXN00096,CUST00455,486.61,2025-11-25 08:00:29,Utilities,Visa,"Philadelphia, PA",False
TXN00097,CUST00793,134.17,2025-12-11 13:20:47,Grocery,Starbucks,"Houston, TX",False
TXN00098,CUST00589,371.82,2025-02-19 16:46:26,Grocery,Uber,"Columbus, OH",False
TXN00099,CUST00590,17.34,2025-03-29 10:49:38,Travel,Amazon Prime,"Fort Worth, TX",False
